,code,name,mbrg,nprg,nav,targ,epsg,seg
2691,600297,广汇汽车,-13.0861,-36.4275,1.3697,9.4543,-35.5333,1.3438
2692,002751,易尚展示,17.3263,-36.4534,6.0344,49.3531,-36.1905,6.0344
2693,600718,东软集团,4.6101,-36.4603,1.0631,2.6203,-36.3636,1.5959
2694,002255,海陆重工,-5.1907,-36.469,3.255,12.815,-38.5,3.3257
2695,601008,连云港,-0.8367,-36.5362,1.0529,2.318,-50.0,0.7208
2696,002155,湖南黄金,10.9363,-36.6535,2.8711,10.1314,-38.0952,3.3317
2697,600729,重庆百货,-0.3515,-37.0289,4.6981,2.3294,-42.381,4.6291
2698,603515,欧普照明,13.3624,-37.1681,6.059,7.2732,-38.4615,5.5778
2699,000975,银泰资源,22.2975,-37.2068,1.9199,3.3009,-44.0377,1.7237
2700,002011,盾安环境,2.0838,-37.2396,3.2249,9.4873,-40.0,3.2954
2701,601038,一拖股份,-18.5685,-37.2547,1.7697,5.8907,-24.4504,2.6727
2702,000061,农产品,-23.9961,-37.2764,1.0404,12.9405,-25.3754,0.4502
2703,603856,东宏股份,-11.5402,-37.2808,15.5181,3.5019,-38.5417,15.5181
2704,000585,东北电气,0.7855,-37.2919,2.2781,4.2929,0.0,2.3222
2705,002229,鸿博股份,34.1392,-37.3247,2.0661,13.6051,-43.6209,2.0407
2706,000930,中粮生化,-2.5432,-37.4105,0.3321,4.7747,-30.1887,0.58
2707,600830,香溢融通,1.6031,-37.4286,3.8759,32.137,-38.8889,3.8243
2708,300088,长信科技,49.7587,-37.4307,30.9748,56.1634,-40.7407,30.8049
2709,600086,东方金钰,-23.3715,-37.51,13.7457,18.3962,-37.189,11.0558
2710,300480,光力科技,-9.2972,-37.643,10.2583,11.5283,-37.9747,10.3087
2711,600062,华润双鹤,-37.3632,-37.7562,6.5242,2.1352,-37.761,6.4955
2712,000705,浙江震元,3.1259,-37.9683,3.7927,3.3741,-69.2308,3.6814
2713,300356,光一科技,6.1546,-38.0112,99.7273,113.5897,-23.2222,90.8876
2714,002333,罗普斯金,1.4913,-38.0277,0.258,21.4072,-38.2353,0.258
2715,002133,广宇集团,1.553,-38.218,35.3993,6.828,-43.2432,43.741
2716,000532,华金资本,-21.0485,-38.5307,-1.4782,1.7632,-40.2089,-0.1274
2717,002898,赛隆药业,-19.5392,-38.5515,25.5252,1.6492,-38.7209,25.5252
2718,002623,亚玛顿,22.9097,-38.5955,1.5115,13.3833,-36.8421,1.5115
2719,600166,福田汽车,-1.3506,-38.6254,1.975,6.9833,-37.5,2.1352
2720,000630,铜陵有色,16.6137,-38.6783,31.043,18.0635,-52.5,33.1034
2721,300176,鸿特精密,16.7579,-38.7116,0.9347,21.1321,-38.715,0.9347
2722,002499,科林环保,-13.4255,-38.8559,-2.1968,15.9634,-33.3333,1.8612
2723,600251,冠农股份,-9.8227,-38.8983,45.6032,33.6535,-47.6829,35.1339
2724,601258,庞大集团,-5.7369,-38.9214,34.7151,4.1219,-37.5,34.2244
2725,002313,日海通讯,16.8097,-39.0321,-0.7124,12.7474,-75.0,-1.6073
2726,002430,杭氧股份,7.8344,-39.0689,7.1802,-5.8409,-44.8276,8.257
2727,600310,桂东电力,-4.9093,-39.197,14.0023,12.7191,,16.1847
2728,002575,群兴玩具,-19.3089,-39.2506,0.1657,5.5296,-33.3333,0.1657
2729,000819,岳阳兴长,-24.0941,-39.3335,4.004,6.6607,-40.9556,4.9168
2730,002378,章源钨业,4.4231,-39.9434,45.2559,5.7166,-40.0,45.2559
2731,000571,新大洲A,-7.5873,-40.0034,24.3583,33.9564,-31.316,18.5879
2732,000791,甘肃电投,-8.3274,-40.0954,3.5411,3.3541,-39.5287,3.7697
2733,002352,顺丰控股,12.5557,-40.1097,-0.9667,-16.2693,-40.3846,-0.9667
2734,000753,漳州发展,10.7181,-40.316,69.5602,17.1985,-41.0256,77.7503
2735,002599,盛通股份,16.662,-40.3239,1.2768,9.3457,-35.7143,1.2768
2736,600463,空港股份,-17.4399,-40.4318,2.4744,4.9809,-43.3333,2.2194
2737,000953,*ST河化,-29.8972,-40.4655,-55.7508,-27.177,-40.5299,-55.7508
2738,600616,金枫酒业,-8.2182,-40.5168,45.3605,38.953,-48.1481,44.1438
2739,600684,珠江实业,-8.8448,-40.6217,29.1353,28.6753,-60.0,13.1498
2740,002110,三钢闽光,-6.613,-40.7167,-7.1137,-6.5043,-40.5941,-7.1137
2741,600366,宁波韵升,-32.8775,-40.9817,3.7299,-0.0777,-43.447,4.0697
2742,300492,山鼎设计,-11.2572,-41.0931,6.8016,6.9755,-39.7059,6.8929
2743,600126,杭钢股份,-15.913,-41.6054,0.2945,-17.9445,-50.0,0.0709
2744,600159,大龙地产,79.9205,-41.628,6.6809,-10.2034,-42.8571,6.5616
2745,000528,柳工,-18.2069,-41.7844,-2.5892,-6.2128,-40.7855,-2.5414
2746,002511,中顺洁柔,0.8019,-41.7868,2.9576,1.2718,-54.0541,2.9576
2747,002347,泰尔股份,4.1962,-42.0913,30.224,3.2831,-50.0,30.2502
2748,002067,景兴纸业,-4.4117,-42.1203,0.9911,11.9783,0.0,1.3091
2749,601369,陕鼓动力,-22.704,-42.1262,0.6766,-1.4135,-42.8571,0.556
2750,600418,江淮汽车,1.6335,-42.1619,4.7571,13.4839,-42.2535,2.3439
2751,603159,上海亚虹,-0.7996,-42.2817,14.0138,18.4491,-42.8571,14.0138
2752,600333,长春燃气,-6.142,-42.3688,0.3664,17.4152,-28.5714,0.5597
2753,300083,劲胜智能,21.4308,-42.4998,5.2157,38.5348,-42.1875,5.3027
2754,603787,新日股份,5.6796,-42.5157,5.896,8.717,-41.6667,6.1552
2755,600415,小商品城,5.1613,-42.5685,2.0254,18.3965,-42.3077,1.5764
2756,600006,东风汽车,-9.5021,-42.629,2.0095,-3.7272,180.0797,2.0477
2757,300308,中际旭创,31.1734,-42.6617,2.9508,-11.3844,-66.6667,2.9508
2758,600158,中体产业,16.9217,-42.7416,-1.3119,0.4213,-24.3812,5.8949
2759,002103,广博股份,6.9644,-42.8435,-0.4056,-0.1041,-50.0,-0.2186
2760,601636,旗滨集团,5.4075,-42.8993,27.9837,18.9316,-49.9104,27.9837
2761,002286,保龄宝,1.1036,-42.946,0.98,5.3623,-76.0,0.98
2762,600055,万东医疗,-3.244,-43.2608,0.6327,7.3346,-40.5,0.3332
2763,600589,广东榕泰,0.3054,-43.4092,0.8408,8.5109,-44.4444,0.6999
2764,000012,南玻A,-8.9127,-43.9052,3.006,0.2516,-43.2432,3.736
2765,000921,海信科龙,8.9261,-43.9371,23.7877,10.8827,-45.6522,25.8167
2766,300226,上海钢联,386.597,-43.9909,95.7622,92.6156,-33.0739,16.9158
2767,600481,双良节能,3.7882,-44.1458,-8.4748,6.3433,-43.7665,-10.3517
2768,600466,蓝光发展,5.8872,-44.1524,2.145,11.5943,-44.0546,2.1485
2769,002371,北方华创,11.8911,-44.3106,1.9889,3.7398,-58.6207,0.3646
2770,300158,振东制药,15.7369,-44.3261,0.6048,2.1968,-43.9615,0.6761
2771,000825,太钢不锈,-17.3813,-44.3847,-0.7101,0.6522,-29.7297,1.4197
2772,300104,乐视网,188.7858,-44.5752,60.7806,76.3038,37.5,97.9836
2773,002244,滨江集团,13.2601,-44.6529,8.5082,-3.3339,-41.3462,9.3446
2774,002537,海联金汇,-19.7013,-44.6982,3.112,-13.5452,-48.7179,0.5938
2775,600108,亚盛集团,-3.9364,-44.7554,1.0259,17.0693,-45.8035,0.9787
2776,002457,青龙管业,-30.9245,-44.9336,2.6209,-6.2873,-50.0,2.4191
2777,600875,东方电气,-7.9136,-44.9606,10.0889,9.4987,-45.2991,10.4575
2778,300330,华虹计通,-0.5107,-44.9665,-1.0176,-3.6409,-60.0,-1.0176
2779,600260,凯乐科技,-9.1968,-44.9786,-5.0009,1.9926,-39.5973,-1.2215
2780,002715,登云股份,-2.4257,-44.9825,74.975,5.6368,-57.1429,74.975
2781,603660,苏州科达,10.0724,-45.0773,10.5155,29.1153,-43.0612,9.4527
2782,600757,长江传媒,11.377,-45.0967,6.4648,12.4954,-51.4286,6.7144
2783,000698,沈阳化工,0.031,-45.2698,0.534,7.4037,-48.2143,0.6062
2784,600528,中铁工业,-10.1226,-45.3035,2.0233,15.3163,-32.918,2.3033
2785,002498,汉缆股份,-3.5326,-45.3542,2.2557,16.8521,-45.0,2.35
2786,000018,神州长城,-59.2007,-45.3854,3.9676,8.1618,-47.7366,3.9159
2787,300198,纳川股份,52.342,-45.3954,2.5002,17.7259,-73.1207,1.8722
2788,600101,明星电力,15.1904,-45.4612,3.9626,4.9514,-41.1765,4.9665
2789,002702,海欣食品,13.3597,-45.5077,0.5335,7.3306,-45.4964,0.5335
2790,603177,德创环保,-14.6122,-45.5154,33.2357,18.1049,-58.5987,33.2357
2791,600284,浦东建设,94.5584,-45.5371,-1.0243,3.7757,-31.8833,2.7894
2792,002528,英飞拓,1.9659,-45.6007,-0.2456,9.965,-61.1111,-0.5032
2793,002848,高斯贝尔,-15.6968,-45.7062,6.6233,4.4629,-45.7112,6.6233
2794,000089,深圳机场,16.7635,-45.7419,1.404,7.0501,-46.6846,1.4383
2795,300047,天源迪科,15.9886,-45.9145,6.9016,21.0124,-51.2821,6.5209
2796,300288,朗玛信息,-19.966,-46.0705,64.9348,106.2727,-37.7358,67.4218
2797,600981,汇鸿集团,7.7801,-46.0789,2.7584,14.5756,-48.5271,3.0221
2798,600724,宁波富达,3.9708,-46.0853,-5.6161,-6.0387,-72.4849,-1.6107
2799,601919,中远海控,3.9402,-46.1412,2.0045,-8.0935,100.0,0.6464
2800,002549,凯美特气,12.7266,-46.5998,5.6694,10.6372,-63.6364,3.916
2801,600727,鲁北化工,6.7589,-46.7031,0.6532,3.795,-50.0,0.6532
2802,600567,山鹰纸业,17.5938,-46.8421,1.1065,1.9267,-66.6667,1.0378
2803,000816,智慧农业,-15.8412,-46.9937,76.8071,31.4765,-50.0,94.5836
2804,300102,乾照光电,-11.0808,-46.997,-0.1566,7.3316,-47.2222,-0.1566
2805,002198,嘉应制药,149.5405,-47.1979,6.6311,12.6529,-77.8304,6.6311
2806,300503,昊志机电,-20.6849,-47.2476,6.5076,11.5128,-47.5248,6.5076
2807,000586,汇源通信,15.1457,-47.2941,3.9586,9.8273,-50.0,3.3715
2808,002582,好想你,7.1458,-47.3665,2.8605,45.6565,-47.8261,2.8605
2809,002564,天沃科技,12.432,-47.6146,3.6594,15.097,-75.6757,2.0046
2810,002063,远光软件,-12.0814,-47.7157,-2.7722,4.9841,-44.2131,-2.992
2811,002596,海南瑞泽,1.7502,-47.7319,39.9726,28.9167,-55.5556,41.6861
2812,002785,万里石,-17.5954,-47.9755,3.5682,0.2288,-44.0,4.8723
2813,601333,广深铁路,-6.3282,-47.9872,0.345,-8.1106,-50.0,0.3576
2814,300345,红宇新材,11.5286,-48.1138,0.3398,0.8982,-47.8261,0.2749
2815,002612,朗姿股份,-10.3997,-48.1362,-3.3764,14.0716,-48.2051,-3.3764
2816,000040,东旭蓝天,27.1648,-48.3073,1.2831,7.8079,-50.0,0.4841
2817,600882,广泽股份,-19.0045,-48.4035,-5.9765,-6.3568,-47.2727,-6.0944
2818,002213,特尔佳,-20.1857,-48.5596,1.0036,4.1881,-46.1538,1.1339
