,code,name,date,weight
295,600277,亿利洁能,2017-06-01,0.18
296,600166,福田汽车,2017-06-01,0.36
297,000400,许继电气,2017-06-01,0.27
298,600580,卧龙电气,2017-06-01,0.12
299,600240,华业资本,2017-06-01,0.24
300,600978,宜华生活,2017-06-01,0.32
301,600790,轻纺城,2017-06-01,0.14
302,002681,奋达科技,2017-06-01,0.12
303,000667,美好置业,2017-06-01,0.23
304,000612,焦作万方,2017-06-01,0.18
305,000939,凯迪生态,2017-06-01,0.21
306,300088,长信科技,2017-06-01,0.4
307,002707,众信旅游,2017-06-01,0.13
308,000685,中山公用,2017-06-01,0.22
309,600874,创业环保,2017-06-01,0.22
310,000680,山推股份,2017-06-01,0.14
311,002444,巨星科技,2017-06-01,0.22
312,002269,美邦服饰,2017-06-01,0.13
313,600805,悦达投资,2017-06-01,0.13
314,603766,隆鑫通用,2017-06-01,0.2
315,600180,瑞茂通,2017-06-01,0.1
316,600219,南山铝业,2017-06-01,0.49
317,600601,方正科技,2017-06-01,0.21
318,600551,时代出版,2017-06-01,0.08
319,002344,海宁皮城,2017-06-01,0.12
320,000517,荣安地产,2017-06-01,0.08
321,002489,浙江永强,2017-06-01,0.2
322,002390,信邦制药,2017-06-01,0.23
323,600086,东方金钰,2017-06-01,0.21
324,002254,泰和新材,2017-06-01,0.15
325,000810,创维数字,2017-06-01,0.15
326,002503,搜于特,2017-06-01,0.17
327,300026,红日药业,2017-06-01,0.29
328,300202,聚龙股份,2017-06-01,0.13
329,000669,金鸿控股,2017-06-01,0.15
330,600528,中铁工业,2017-06-01,0.35
331,600187,国中水务,2017-06-01,0.18
332,603077,和邦生物,2017-06-01,0.16
333,600079,人福医药,2017-06-01,0.49
334,002244,滨江集团,2017-06-01,0.17
335,002029,七 匹 狼,2017-06-01,0.12
336,002266,浙富控股,2017-06-01,0.18
337,600122,宏图高科,2017-06-01,0.29
338,002544,杰赛科技,2017-06-01,0.19
339,000919,金陵药业,2017-06-01,0.09
340,002410,广联达,2017-06-01,0.31
341,000066,中国长城,2017-06-01,0.43
342,000543,皖能电力,2017-06-01,0.16
343,002573,清新环境,2017-06-01,0.32
344,600312,平高电气,2017-06-01,0.26
345,603355,莱克电气,2017-06-01,0.12
346,002505,大康农业,2017-06-01,0.16
347,002512,达华智能,2017-06-01,0.18
348,000519,中兵红箭,2017-06-01,0.18
349,600981,汇鸿集团,2017-06-01,0.05
350,600757,长江传媒,2017-06-01,0.12
351,300136,信维通信,2017-06-01,0.66
352,600053,九鼎投资,2017-06-01,0.12
353,600917,重庆燃气,2017-06-01,0.04
354,300166,东方国信,2017-06-01,0.17
